Time (UTC),Open,High,Low,Close,Volume 
2024.04.29 10:10:00,2343.045,2343.625,2342.735,2342.805,0.15985
2024.04.29 10:15:00,2342.775,2344.405,2342.715,2343.265,0.27529
2024.04.29 10:20:00,2343.275,2343.365,2342.295,2342.465,0.16841
2024.04.29 10:25:00,2342.465,2342.965,2342.355,2342.945,0.05259
2024.04.29 10:30:00,2342.945,2343.405,2342.135,2343.355,0.06605
2024.04.29 10:35:00,2343.342,2343.585,2342.092,2342.125,0.09066
2024.04.29 10:40:00,2342.095,2342.165,2340.205,2341.065,0.10884
2024.04.29 10:45:00,2340.982,2342.402,2340.265,2342.322,0.12711
2024.04.29 10:50:00,2342.295,2342.312,2340.526,2340.865,0.07902
2024.04.29 10:55:00,2340.855,2341.752,2340.845,2341.515,0.07044
2024.04.29 11:00:00,2341.485,2341.965,2341.055,2341.575,0.08251
2024.04.29 11:05:00,2341.522,2341.786,2340.992,2341.102,0.11444
2024.04.29 11:10:00,2341.102,2341.345,2340.342,2341.265,0.09707
2024.04.29 11:15:00,2341.255,2341.655,2340.882,2341.602,0.06364
2024.04.29 11:20:00,2341.665,2342.792,2341.422,2342.742,0.12423
2024.04.29 11:25:00,2342.722,2343.252,2342.482,2342.962,0.07075
2024.04.29 11:30:00,2342.972,2343.152,2341.566,2341.656,0.14163
2024.04.29 11:35:00,2341.662,2342.705,2341.382,2341.382,0.22697
2024.04.29 11:40:00,2341.382,2341.782,2338.605,2338.715,0.14975
2024.04.29 11:45:00,2338.585,2339.925,2337.712,2337.845,0.16942
2024.04.29 11:50:00,2337.895,2338.335,2336.435,2336.895,0.21838
2024.04.29 11:55:00,2336.895,2337.395,2335.652,2337.295,0.28992
2024.04.29 12:00:00,2337.295,2337.832,2336.472,2337.342,0.34258
2024.04.29 12:05:00,2337.385,2337.795,2335.835,2336.145,0.34456
2024.04.29 12:10:00,2336.185,2336.352,2335.175,2335.912,0.29617
2024.04.29 12:15:00,2335.935,2336.685,2334.262,2335.312,0.20182
2024.04.29 12:20:00,2335.335,2336.175,2334.872,2334.935,0.36373
2024.04.29 12:25:00,2334.965,2335.115,2333.625,2334.085,0.42155
2024.04.29 12:30:00,2334.115,2334.425,2332.175,2332.262,0.53271
2024.04.29 12:35:00,2332.265,2332.442,2329.725,2329.875,0.41746
2024.04.29 12:40:00,2329.862,2331.015,2329.452,2330.235,0.32391
2024.04.29 12:45:00,2330.215,2331.775,2328.605,2330.752,0.38187
2024.04.29 12:50:00,2330.715,2333.282,2330.462,2333.212,0.26885
2024.04.29 12:55:00,2333.192,2333.562,2331.942,2332.222,0.31036
2024.04.29 13:00:00,2332.225,2333.925,2331.602,2333.735,0.26969
2024.04.29 13:05:00,2333.742,2334.345,2331.875,2332.735,0.31539
2024.04.29 13:10:00,2332.762,2333.662,2331.905,2332.765,0.48024
2024.04.29 13:15:00,2332.765,2333.675,2331.385,2333.255,0.51447
2024.04.29 13:20:00,2333.255,2334.855,2333.195,2333.735,0.36702
2024.04.29 13:25:00,2333.725,2334.725,2332.782,2334.255,0.44253
2024.04.29 13:30:00,2334.275,2336.895,2334.165,2334.435,0.78253
2024.04.29 13:35:00,2334.465,2334.552,2331.015,2331.415,0.98001
2024.04.29 13:40:00,2331.432,2331.535,2325.832,2331.085,0.7431
2024.04.29 13:45:00,2331.085,2332.396,2327.745,2331.915,0.50828
2024.04.29 13:50:00,2331.875,2334.185,2331.352,2333.895,0.71265
2024.04.29 13:55:00,2333.895,2335.495,2332.602,2334.302,0.59112
2024.04.29 14:00:00,2334.252,2336.675,2334.205,2336.102,0.50819
2024.04.29 14:05:00,2336.062,2338.635,2335.702,2336.995,0.26063
2024.04.29 14:10:00,2337.086,2337.675,2334.575,2334.845,0.53152
2024.04.29 14:15:00,2334.845,2337.375,2334.845,2337.145,0.55431
2024.04.29 14:20:00,2337.122,2337.415,2334.265,2334.515,0.39923
2024.04.29 14:25:00,2334.485,2339.605,2334.365,2339.085,0.32013
2024.04.29 14:30:00,2339.185,2339.485,2336.065,2338.535,0.27799
2024.04.29 14:35:00,2338.555,2338.795,2337.105,2338.365,0.14958
2024.04.29 14:40:00,2338.365,2339.775,2338.065,2338.305,0.16145
2024.04.29 14:45:00,2338.285,2338.335,2335.535,2336.325,0.16676
2024.04.29 14:50:00,2336.345,2336.675,2335.125,2335.835,0.22353
2024.04.29 14:55:00,2335.862,2338.095,2335.862,2337.995,0.20302
2024.04.29 15:00:00,2337.995,2338.085,2336.502,2337.775,0.23778
2024.04.29 15:05:00,2337.755,2338.235,2336.535,2336.745,0.13709
2024.04.29 15:10:00,2336.645,2338.115,2334.865,2335.185,0.12837
2024.04.29 15:15:00,2335.265,2335.265,2333.075,2335.102,0.31009
2024.04.29 15:20:00,2335.155,2337.105,2335.082,2336.672,0.38968
2024.04.29 15:25:00,2336.622,2338.085,2336.462,2337.942,0.23685
2024.04.29 15:30:00,2337.965,2338.145,2336.495,2336.525,0.13752
2024.04.29 15:35:00,2336.525,2337.825,2336.495,2337.235,0.09879
2024.04.29 15:40:00,2337.235,2339.125,2337.235,2338.505,0.16907
2024.04.29 15:45:00,2338.452,2338.862,2337.362,2337.422,0.18888
2024.04.29 15:50:00,2337.382,2338.145,2336.892,2337.495,0.2539
2024.04.29 15:55:00,2337.525,2338.632,2337.145,2338.072,0.15753
2024.04.29 16:00:00,2338.072,2340.175,2337.715,2339.985,0.15696
2024.04.29 16:05:00,2339.895,2342.535,2339.325,2341.595,0.13596
2024.04.29 16:10:00,2341.595,2344.375,2341.305,2343.695,0.13907
2024.04.29 16:15:00,2343.665,2343.865,2341.635,2342.225,0.1019
2024.04.29 16:20:00,2342.225,2347.005,2342.035,2345.905,0.23502
2024.04.29 16:25:00,2345.845,2346.782,2343.925,2344.025,0.19814
2024.04.29 16:30:00,2343.975,2344.905,2343.215,2343.455,0.12098
2024.04.29 16:35:00,2343.395,2344.112,2342.232,2342.895,0.27658
2024.04.29 16:40:00,2342.902,2344.772,2342.212,2344.535,0.55747
2024.04.29 16:45:00,2344.535,2345.072,2342.445,2343.425,0.52876
2024.04.29 16:50:00,2343.555,2346.725,2343.555,2345.945,0.29377
2024.04.29 16:55:00,2345.895,2345.995,2342.565,2343.085,0.21277
2024.04.29 17:00:00,2343.175,2345.352,2342.645,2344.055,0.21941
2024.04.29 17:05:00,2344.075,2344.715,2342.845,2344.265,0.1067
2024.04.29 17:10:00,2344.265,2346.085,2343.895,2345.562,0.13015
2024.04.29 17:15:00,2345.582,2346.465,2344.815,2345.475,0.15606
2024.04.29 17:20:00,2345.465,2345.925,2344.145,2345.612,0.12477
2024.04.29 17:25:00,2345.525,2346.912,2344.575,2346.205,0.31326
2024.04.29 17:30:00,2346.175,2346.525,2345.265,2345.285,0.18372
2024.04.29 17:35:00,2345.115,2345.495,2344.045,2344.075,0.10336
2024.04.29 17:40:00,2344.075,2344.095,2341.595,2341.965,0.27908
2024.04.29 17:45:00,2341.955,2342.265,2340.045,2340.775,0.31924
2024.04.29 17:50:00,2340.765,2341.385,2340.055,2340.605,0.25941
2024.04.29 17:55:00,2340.605,2342.515,2340.605,2342.455,0.22989
2024.04.29 18:00:00,2342.465,2344.085,2341.715,2343.345,0.24757
2024.04.29 18:05:00,2343.345,2343.345,2342.175,2342.645,0.25771
2024.04.29 18:10:00,2342.565,2343.025,2341.695,2342.595,0.1277
2024.04.29 18:15:00,2342.615,2343.365,2342.465,2342.855,0.11496
2024.04.29 18:20:00,2342.855,2343.295,2342.275,2342.325,0.11675
2024.04.29 18:25:00,2342.325,2342.345,2338.502,2338.835,0.29749
2024.04.29 18:30:00,2338.835,2339.912,2337.902,2338.765,0.33645
2024.04.29 18:35:00,2338.765,2339.465,2338.595,2338.845,0.31818
2024.04.29 18:40:00,2338.815,2339.622,2338.575,2339.552,0.22476
2024.04.29 18:45:00,2339.542,2340.552,2339.452,2340.512,0.15973
2024.04.29 18:50:00,2340.552,2341.282,2340.415,2340.615,0.15188
2024.04.29 18:55:00,2340.645,2341.632,2340.255,2341.632,0.19253
2024.04.29 19:00:00,2341.542,2341.595,2334.745,2335.165,0.48326
